german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Kuchen,cake,"der Kuchen, -",Ich habe einen Kuchen gebacken.,I baked a cake.,,,,,,,,,,
Kugelschreiber,(ballpoint) pen,"der Kugelschreiber, -",Mein Kugelschreiber ist weg.,My ballpoint pen is gone.,,,,,,,,,,
Kuli,pen,"der Kuli, -s",Hast du einen Kuli für mich?,Do you have a pen for me?,,,,,,,,,,
Kühlschrank,refrigerator,"der Kühlschrank, ¨-e",Stell die Milch in den Kühlschrank!,Put the milk in the fridge!,,,,,,,,,,
Kultur,culture,"die Kultur, -en",Ich interessiere mich für andere Länder und Kulturen.,I am interested in other countries and cultures.,,,,,,,,,,
"Kunde, Kundin",customer,"der Kunde, -n 
die Kundin, -nen",Sie ist schon lange bei mir Kundin. Ich habe ihr einen Sonderpreis gegeben.,She has been a customer of mine for a long time. I have given her a special price.,"Einen Augenblick, bitte. Ich habe einen Kunden.","One moment, please. I have a customer.",,,,,,,,
Kündigung,"termination, notice","die Kündigung, -en",Ich habe die Kündigung bekommen. Jetzt bin ich arbeitslos.,I have been given notice. Now I'm unemployed.,,,,,,,,,,
Kunst,art,"die Kunst, ¨-e",Ich verstehe nichts von moderner Kunst.,I don't understand anything about modern art.,,,,,,,,,,
"Künstler, Künstlerin",artist,"der Künstler, - 
die Künstlerin, -nen",In diesem Stadtteil wohnen viele Künstlerinnen. Neben uns wohnt eine Musikerin.,Many female artists live in this part of town. A musician lives next door to us.,,,,,,,,,,
Kunststoff,plastic,"der Kunststoff, -e",Der Stuhl ist aus Kunststoff.,The chair is made of plastic.,,,,,,,,,,
Kurs,course,"der Kurs, -e",Ich besuche regelmäßig einen Deutschkurs.,I regularly attend a German course.,,,,,,,,,,
Kursleiter,instructor,"der Kursleiter, - 
die Kursleiter, -nen",Die Kursleiterin ist mit unserer Kursgruppe manchmal in den Computerraum gegangen.,The course instructor sometimes went into the computer room with our course group.,,,,,,,,,,
Kurve,curve,"die Kurve, -n",Fahr bitte nicht so schnell in die Kurven.,Please don't take the bends so fast.,Achtung. Das Stauende ist gleich hinter einer Kurve.,Caution. The end of the traffic jam is just behind a bend.,,,,,,,,
Kuss,kiss,"der Kuss, ¨-e",Gib der Mama einen Kuss!,Give mom a kiss!,,,,,,,,,,
Küste,coast,"die Küste, -n",Unser Dorf liegt direkt an der Küste.,Our village is located directly on the coast.,,,,,,,,,,
Kuvert,envelope,"das Kuvert, -s (A) 
→ der Briefumschlag; CH: Couvert",Ich hätte gern 50 Kuverts und Briefmarken dazu.,I would like 50 envelopes and stamps.,,,,,,,,,,
Laden,shop,"der Laden, ¨-",Dieses Kleid habe ich in einem Laden im Zentrum gekauft.,I bought this dress in a store in the city center.,Ich kaufe meine Zeitung immer beim Zeitungsladen am Eck.,I always buy my newspaper from the newsagent on the corner.,,,,,,,,
Lage,location,"die Lage, -n",Wir suchen eine Wohnung an/in zentraler Lage.,We are looking for an apartment in a central location.,,,,,,,,,,
Lager,"warehouse, camp","das Lager, -","Ich weiß nicht, ob wir diesen Schuh in Ihrer Größe haben. Ich sehe mal im Lager nach.",I don't know if we have this shoe in your size. I'll have a look in the warehouse.,Unsere Kinder fahren im Sommer ins Zeltlager.,Our children go to camp in the summer.,,,,,,,,
Lampe,lamp,"die Lampe, -n",Ich habe mir eine neue Lampe gekauft.,I bought a new lamp.,Mach doch bitte die Lampe an. Es ist so dunkel hier.,Please turn on the lamp. It's so dark here.,,,,,,,,
Land,"country, countryside, land, state","das Land, ¨-er",Deutschland ist ein schönes Land.,Germany is a beautiful country.,Möchten Sie lieber auf dem Land oder in der Stadt wohnen?,Would you prefer to live in the countryside or in the city?,Wir haben ein Stück Land gekauft und wollen dort bauen.,We have bought a piece of land and want to build there.,In welchen Ländern warst du schon?,Which countries have you been to?,,,,
Landwirtschaft,agriculture,"die Landwirtschaft, -en",Auf dem Land arbeiten die meisten Leute in der Landwirtschaft.,"In the countryside, most people work in agriculture.",,,,,,,,,,
Landschaft,landscape,"die Landschaft, -en",Die Landschaft ist sehr hügelig.,The landscape is very hilly.,,,,,,,,,,
Landung,landing,"die Landung, -en",Bei der Landung müssen Sie sich anschnallen.,You must fasten your seat belt when landing.,,,,,,,,,,
Länge,length,"die Länge, -n","Mein Schreibtisch hat folgende Maße: Länge 1.20 m, Breite: 0,85 m, Höhe: 0,75 m.","My desk has the following dimensions: length 1.20 m, width: 0.85 m, height: 0.75 m.",,,,,,,,,,
Langeweile,boredom,die Langeweile (Sg.),Es ist aus Langeweile eingeschlafen.,It fell asleep out of boredom.,,,,,,,,,,
Lärm,noise,der Lärm (Sg.),Die Flugzeuge machen einen schrecklichen Lärm.,The airplanes make a terrible noise.,,,,,,,,,,
Laster,"truck, vice","der Laster, -",Auf der Autobahn waren so viele Laster. Deshalb hat es so lange gedauert.,There were so many trucks on the highway. That's why it took so long.,Rauchen kann ein Laster sein.,Smoking can be a vice.,,,,,,,,
Laufwerk,(computer) drive,"das Laufwerk, -e",Für meinen Computer habe ich mir ein neues Laufwerk gekauft.,I bought a new drive for my computer.,,,,,,,,,,
Laune,mood,"die Laune, -n","Heute geht es mir besser, aber gestern hatte ich richtig schlechte Laune.","I'm feeling better today, but yesterday I was in a really bad mood.",,,,,,,,,,
Lautsprecher,loudspeaker,"der Lautsprecher, -",Bitte achten Sie auch auf die Lautsprecher-Ansagen am Bahnhof.,Please also pay attention to the loudspeaker announcements at the station.,,,,,,,,,,
Leben,life,"das Leben, -",Ich habe mich an das Leben auf dem Land gewöhnt.,I have become accustomed to life in the country.,Hier ist das Leben teuer.,Life is expensive here.,,,,,,,,
Lebenslauf,curriculum vitae,"der Lebenslauf, ¨-e",Hast du den Lebenslauf für die Bewerbung schon geschrieben?,Have you already written your CV for the application?,,,,,,,,,,
Lebensmittel,food,die Lebensmittel (Pl.),Lebensmittel werden immer teurer.,Food is becoming more and more expensive.,Meine Lebensmittel kaufe ich im Supermarkt.,I buy my food at the supermarket.,,,,,,,,
Leder,leather,"das Leder, -",Ist die Tasche aus Leder?,Is the bag made of leather?,,,,,,,,,,
Lehre,"teaching, apprenticeship","die Lehre, -n",Mein Cousin will eine dreijährige Lehre machen.,My cousin wants to do a three-year apprenticeship.,,,,,,,,,,
Lehrstelle,apprenticeship,"die Lehrstelle, -n",Es sind noch viele Lehrstellen frei.,There are still many apprenticeships available.,,,,,,,,,,
"Lehrer, Lehrerin",teacher,"der Lehrer, - 
die Lehrerin, -nen",Die Lehrerin hat heute viele Hausaufgaben gegeben.,The teacher gave a lot of homework today.,,,,,,,,,,
Lehrling,apprentice,"der Lehrling, -e",Als Lehrling verdient man nicht sehr viel Geld.,You don't earn very much money as an apprentice.,,,,,,,,,,
Leistung,"performance, achievement","die Leistung, -en",Meine Leistungen in der Schule sind ganz gut.,My performance at school is quite good.,,,,,,,,,,
"Leiter, Leiterin",manager,"der Leiter, - 
die Leiterin, -nen",Wie heißt die Leiterin der Schule?,What is the name of the head of the school?,,,,,,,,,,
Leitung,management,"die Leitung, -en",Ab 1. Juli übernimmt Herr Meier die Leitung der Abteilung.,Mr. Meier will take over the management of the department from 1 July.,"Tut mir leid, alle Leitungen sind besetzt.","Sorry, all lines are busy.",Wir müssen eine neue Leitung legen lassen.,We have to have a new pipe laid.,,,,,,
Leiter,"ladder, manager","die Leiter, -n",Haben Sie eine Leiter für mich? Ich will die Fenster putzen.,Do you have a ladder for me? I want to clean the windows.,,,,,,,,,,
"Lerner, Lernerin",learner,"der Lerner, - 
die Lernerin, -nen",Sie ist eine fleißige Lernerin.,She is a diligent learner.,,,,,,,,,,
"Leser, Leserin",reader,"der Leser, - 
die Leserin, -nen",Die Leserinnen und Leser sind mit der Zeitung zufrieden.,Readers are satisfied with the newspaper.,Ich werde einen Leserbrief schreiben.,I will write a letter to the editor.,,,,,,,,
Leute,people,die Leute (Pl.),Auf der Party waren viele Leute.,There were a lot of people at the party.,,,,,,,,,,
Lexikon,"dictionary, lexicon","das Lexikon, Lexika",Wir könnten im Lexikon nachsehen.,We could look it up in the dictionary.,,,,,,,,,,
Licht,light,"das Licht, -er",Kannst du bitte Licht machen? Ich kann so nichts sehen.,Can you please turn on the light? I can't see anything like this.,Es ist so dunkel. Wo macht man hier das Licht an?,It's so dark. Where do you turn on the light here?,,,,,,,,
Liebe,love,"die Liebe, -n",Wir haben aus Liebe geheiratet.,We got married for love.,Für mich ist das Wichtigste die Liebe zu meiner Familie und zu meinen Kindern.,"For me, the most important thing is the love I have for my family and my children.",Die Kinder haben die Geschenke mit viel Liebe gemacht.,The children made the presents with lots of love.,,,,,,
Lied,song,"das Lied, -er",Zu deinem Geburtstag singen wir dir ein Lied.,We'll sing you a song for your birthday.,,,,,,,,,,
Lieferung,delivery,"die Lieferung, -en",Sie bezahlen erst bei der Lieferung.,You only pay on delivery.,,,,,,,,,,
Lift,elevator,"der Lift, -e 
→ D, A: Aufzug",Im Büro ist leider der Lift kaputt.,"Unfortunately, the elevator in the office is broken.",,,,,,,,,,
Limonade,lemonade,"die Limonade, -n",Die Limonade ist sehr süß.,The lemonade is very sweet.,,,,,,,,,,
Linie,line,"die Linie, -n",Zum Hauptbahnhof können Sie mit der Linie 8 fahren.,You can take line 8 to the main station.,,,,,,,,,,
Lippe,lip,"die Lippe, -n",Es ist sehr kalt. Meine Lippen sind ganz trocken.,It's very cold. My lips are very dry.,,,,,,,,,,
Liste,list,"die Liste, -n",Was brauchen wir für die Party? – Mach doch eine Einkaufsliste.,What do we need for the party? - Make a shopping list.,,,,,,,,,,
Literatur,literature,"die Literatur, -en",Ich interessiere mich für Literatur.,I am interested in literature.,,,,,,,,,,
Loch,hole,"das Loch, ¨-er",Ich habe ein Loch im Zahn. Ich muss zum Zahnarzt.,I have a hole in my tooth. I have to go to the dentist.,"Deine Hose hat ein Loch. – Ich weiß, sie ist schon alt.",Your pants have a hole in them. - I know they're old.,,,,,,,,
Löffel,spoon,"der Löffel, -","Bitte, bringen Sie mir einen Löffel.","Please, bring me a spoon.",,,,,,,,,,
Lohn,"wage, salary","der Lohn, ¨-e",Sie bekommen Ihren Lohn immer am Ende des Monats.,You always receive your salary at the end of the month.,Die Löhne sind hier sehr niedrig.,Wages are very low here.,,,,,,,,
Lokal,"restaurant, bar","das Lokal, -e",Gibt es hier in der Nähe ein gemütliches Lokal?,Is there a cozy restaurant nearby?,,,,,,,,,,
Lösung,solution,"die Lösung, -en",Wir fahren alle zusammen mit dem Zug. Das ist die beste Lösung.,We all travel together by train. That's the best solution.,Die Aufgabe ist nicht schwer. Die Lösung ist ganz einfach.,The task is not difficult. The solution is quite simple.,,,,,,,,
Luft,air,"die Luft, ¨-e","Oh, hier ist aber schlechte Luft.","Oh, the air is bad here.",Die Seeluft tut mir gut.,The sea air is good for me.,Bitte mach das Fenster auf. Ich brauche frische Luft.,Please open the window. I need some fresh air.,,,,,,
Lüge,lie,"die Lüge, -n",Das ist eine Lüge!,That is a lie!,,,,,,,,,,
Lust,desire,"die Lust, ¨-e",Ich habe keine Lust zu grillen.,I don't feel like barbecuing.,Hast du Lust auf einen Tee?,Fancy a cup of tea?,,,,,,,,
Mädchen,girl,"das Mädchen, -",Familie Kurz hat zwei Mädchen und einen Jungen.,The Kurz family has two girls and a boy.,,,,,,,,,,
Magazin,magazine,"das Magazin, -e",Jugendliche lesen dieses Magazin gern.,Young people enjoy reading this magazine.,,,,,,,,,,
Magen,stomach,"der Magen, ¨-",Mit tut der Magen weh. Ich habe Magenschmerzen.,My stomach hurts. My stomach hurts.,,,,,,,,,,
Mahlzeit,meal,"die Mahlzeit, -en",Die Tropfen bitte immer nach den Mahlzeiten einnehmen.,Please always take the drops after meals.,In Deutschland gibt es meist nur einmal am Tag eine warme Mahlzeit.,"In Germany, there is usually only one hot meal a day.",,,,,,,,
Mahnung,reminder,"die Mahnung, -en","Wenn du die Rechnung nicht pünktlich bezahlst, bekommst du eine Mahnung.","If you do not pay the bill on time, you will receive a reminder.",,,,,,,,,,
Mal,time,"das Mal, -e",Das machen wir nächstes Mal.,We'll do that next time.,Das erste Mal war ich vor fünf Jahren in England.,The first time I was in England was five years ago.,Bis zum nächsten Mal.,See you next time.,,,,,,
"Maler, Malerin",painter,"der Maler, - 
die Malerin, -nen",Wir haben die Maler im Haus. Wir lassen die Wände neu streichen.,We have the painters in the house. We're having the walls repainted.,Picasso ist vielleicht der bekannteste Maler der Welt.,Picasso is perhaps the most famous painter in the world.,,,,,,,,
Mangel,"defect, shortage","der Mangel, ¨-",In dieser Stadt gibt es einen großen Mangel an Wohnungen.,There is a great shortage of apartments in this city.,Die Maschine hat technische Mängel.,The machine has technical defects.,,,,,,,,
Mann,"man, husband","der Mann, ¨-er",In unserer Firma arbeiten fast nur Männer.,Almost only men work in our company.,Mein Mann arbeitet bei der Post.,My husband works at the post office.,,,,,,,,
Mannschaft,team,"die Mannschaft, -en",Unsere Mannschaft hat 0:1 verloren.,Our team lost 0:1.,,,,,,,,,,
Mantel,coat,"der Mantel, ¨-",Es ist sehr kalt. Zieh deinen Mantel an.,It's very cold. Put on your coat.,,,,,,,,,,
Mappe,folder,"die Mappe, -n",Mein Pass ist in dieser Mappe.,My passport is in this folder.,,,,,,,,,,
Märchen,fairy tale,"das Märchen, -",Meine Großmutter hat uns viele Märchen erzählt.,My grandmother told us many fairy tales.,,,,,,,,,,
Margarine,margarine,"die Margarine, -n",Meine Frau isst nur Margarine und keine Butter.,My wife only eats margarine and no butter.,,,,,,,,,,
Marille,apricot,"die Marille, -n (A) 
→ D, CH: Aprikose",Schmecken dir die Marillen?,Do you like the apricots?,,,,,,,,,,
Marke,"brand, mark","die Marke, -n",Ich brauche bitte fünf Briefmarken zu 1 Euro.,"I need five stamps at 1 euro, please.",Markenschuhe sind mir zu teuer.,Brand shoes are too expensive for me.,,,,,,,,
Markt,market,"der Markt, ¨-e",Ich gehe heute auf den Markt.,I'm going to the market today.,Mittwochs und samstags ist bei uns Markt.,We have a market on Wednesdays and Saturdays.,,,,,,,,
Marmelade,jam,"die Marmelade, -n (D, A)",Bring bitte noch ein Glas Marmelade mit.,Please bring a jar of jam.,,,,,,,,,,
Maschine,machine,"die Maschine, -n",Ich habe eine neue Kaffeemaschine.,I have a new coffee machine.,Unsere Maschine soll um 7 Uhr 10 starten.,Our plane is due to take off at 7.10 am.,,,,,,,,
Material,material,"das Material, -en",Aus welchem Material ist der Schrank? – Aus Holz.,What material is the cabinet made of? - Wood.,,,,,,,,,,
Matura,school leaving examination,"die Matura (Sg.) (A, CH) 
→ D: Abitur",Meine Tocher hat gerade die Matura gemacht.,My daughter has just graduated from high school.,,,,,,,,,,
Mauer,wall,"die Mauer, -n",Die Kinder sind über die Mauer geklettert.,The children climbed over the wall.,,,,,,,,,,
"Mechaniker, Mechanikerin",mechanic,"der Mechaniker, - 
die Mechanikerin, -nen",Das kann nur ein Mechaniker reparieren.,Only a mechanic can repair this.,Karim ist Automechaniker. Er arbeitet bei Opel.,Karim is a car mechanic. He works for Opel.,,,,,,,,
Medien,media,die Medien (Pl.),Umweltschutz ist in den Medien ein großes Thema.,Environmental protection is a major topic in the media.,,,,,,,,,,
Medikament,medication,"das Medikament, -e",Dieses Medikament gibt es nur auf Rezept.,This medication is only available on prescription.,Der Arzt hat mir ein Medikament verschrieben.,The doctor prescribed me a medication.,Für dieses Medikament müssen Sie fünf Euro dazu zahlen.,You will have to pay an additional five euros for this medicine.,Dieses Medikament hat mir sehr gut geholfen.,This medication has helped me very well.,,,,
Medizin,medicine,"die Medizin, -en",Du musst noch deine Medizin nehmen.,You still have to take your medicine.,Mein Sohn will Medizin studieren.,My son wants to study medicine.,,,,,,,,
Meer,sea,"das Meer, -e",Wir machen immer Urlaub am Meer.,We always go on vacation by the sea.,,,,,,,,,,
Mehl,flour,"das Mehl, -e",Ich möchte einen Kuchen backen. Ist noch genug Mehl da?,I would like to bake a cake. Is there enough flour left?,,,,,,,,,,
Mehrheit,majority,"die Mehrheit, -en",Die Mehrheit der Menschen in Deutschland besitzt ein Handy.,The majority of people in Germany own a cell phone.,,,,,,,,,,
Mehrwertsteuer,value added tax (VAT),"die Mehrwertsteuer, -n",Die Mehrwertsteuer bei diesem Produkt beträgt 20 %.,The VAT rate for this product is 20%.,,,,,,,,,,
Meinung,opinion,"die Meinung, -en","Ich bin der Meinung, dass du recht hast.",I am of the opinion that you are right.,Ich habe meine Meinung geändert.,I have changed my mind.,Meiner Meinung nach gibt es hier zu viele Autos.,"In my opinion, there are too many cars here.",,,,,,
Meister,"master, champion","der Meister, -","Ich weiß nicht, wie man das macht. – Dann frag doch den Meister.",I don't know how to do that. - Then ask the master.,Unsere Mannschaft ist deutscher Meister geworden.,Our team has become German champions.,,,,,,,,
Meldung,"report, message","die Meldung, -en",Hast du die Meldung im Radio gehört? Es wird starken Sturm geben.,Did you hear the report on the radio? There's going to be a big storm.,,,,,,,,,,
Menge,"quantity, a lot","die Menge, -n","Diesen Preis gibt es nur, wenn Sie große Mengen kaufen.",This price is only available if you buy large quantities.,Wir haben noch eine Menge Zeit.,We still have a lot of time.,Ich kenne schon eine Menge Leute in der Stadt.,I already know a lot of people in the city.,Das Auto hat bestimmt eine Menge Geld gekostet.,The car must have cost a lot of money.,,,,
Mensa,canteen,"die Mensa, -s/-en",Ich esse fast jeden Tag in der Mensa.,I eat in the canteen almost every day.,,,,,,,,,,
Mensch,"human, person","der Mensch, -en",Die Menschen sind hier ein bisschen anders als im Süden.,People are a bit different here than in the south.,,,,,,,,,,
Menü,menu,"das Menü, -s","Nimm doch das Menü, das sieht gut aus.","Take the menu, it looks good.",,,,,,,,,,
Messe,"fair, show","die Messe, -n",Kommst du mit zur Automobilmesse?,Are you coming to the motor show?,Vielleicht kann ich auf der Messe einen Job bekommen.,Maybe I can get a job at the fair.,,,,,,,,
Messer,knife,"das Messer, -",Das Messer schneidet nicht gut.,The knife does not cut well.,,,,,,,,,,
Metall,metal,"das Metall, -e",Dieser Tisch hier ist ganz aus Metall.,This table here is made entirely of metal.,,,,,,,,,,
Methode,method,"die Methode, -n","Weißt du eine gute Methode, um schnell gut Deutsch zu lernen?",Do you know a good method for learning German quickly?,,,,,,,,,,
Metropole,metropolis,"die Metropole, -n",Berlin und Wien sind Metropolen.,Berlin and Vienna are metropolitan cities.,,,,,,,,,,
Metzger,butcher,"der Metzger, - 
→ A: Fleischhauer",Dieser Metzger hat sehr gute Wurst.,This butcher has very good sausage.,,,,,,,,,,
Miete,rent,"die Miete, -n",Unsere Miete ist sehr hoch.,Our rent is very high.,Wie viel Miete bezahlst du?,How much rent do you pay?,,,,,,,,
"Mieter, Mieterin",tenant,"der Mieter, - 
die Mieterin, -nen",Sie hat heute neue Mieter für die Wohnung gefunden.,She found new tenants for the apartment today.,,,,,,,,,,
"Migrant, Migrantin",migrant,"der Migrant, -en 
die Migrantin, -nen",Viele Migranten kommen aus Osteuropa.,Many migrants come from Eastern Europe.,,,,,,,,,,
Migration,migration,"die Migration, -en",Gestern gab es im Fernsehen eine Diskussion zum Thema Migration.,Yesterday there was a discussion on TV about migration.,,,,,,,,,,
Milch,milk,die Milch (Sg.),Stellst du bitte die Milch in den Kühlschrank?,Could you please put the milk in the fridge?,,,,,,,,,,
Minderheit,minority,"die Minderheit, -en",Frauen sind in unserer Firma in der Minderheit.,Women are in the minority in our company.,,,,,,,,,,
Mineralwasser,mineral water,"das Mineralwasser, -/¨-",Kann ich bitte ein Mineralwasser haben?,"Can I have a mineral water, please?",,,,,,,,,,
"Mitarbeiter, Mitarbeiterin",employee,"der Mitarbeiter, - 
die Mitarbeiterin, -nen",Unsere Firma hat sieben Mitarbeiter.,Our company has seven employees.,,,,,,,,,,
Mitglied,member,"das Mitglied, -er",Für Mitglieder ist der Eintritt zum Konzert gratis.,Admission to the concert is free for members.,,,,,,,,,,
Mitte,"middle, center","die Mitte, -n",Wo möchten Sie sitzen? – In der Mitte.,Where would you like to sit? - In the middle.,Bis Mitte der Woche bin ich fertig.,I'll be finished by the middle of the week.,Ich habe Urlaub bis Mitte August.,I'm on vacation until mid-August.,"Den Schrank stellen wir ans Fenster, den Tisch in die Mitte.",We put the cupboard by the window and the table in the middle.,,,,
Mittel,"remedy, resource, medium","das Mittel, -",Haben Sie ein Mittel gegen Magenschmerzen?,Do you have a remedy for stomach pain?,Der Arzt hat mir ein Mittel gegen Grippe verschrieben.,The doctor prescribed me a remedy for the flu.,Das neue Waschmittel ist sehr gut.,The new detergent is very good.,,,,,,
Möbel,furniture,"das Möbel, -",Wir haben uns neue Möbel gekauft.,We bought new furniture.,,,,,,,,,,
Mobilbox,voicemail,"die Mobilbox, -en",Ich habe zwei Nachrichten auf meiner Mobilbox.,I have two messages on my voicemail.,,,,,,,,,,
Mobilität,mobility,"die Mobilität, -en",Sprachen zu lernen fördert die Mobilität.,Learning languages promotes mobility.,,,,,,,,,,
Mobiltelefon,cell phone,"das Mobiltelefon, -e",Wie kann ich Sie erreichen? Haben Sie ein Mobiltelefon?,How can I reach you? Do you have a cell phone?,,,,,,,,,,
Mode,fashion,"die Mode, -n",Wie findest du die neue Mode?,What do you think of the new fashion?,Welche Farbe ist denn jetzt gerade in Mode?,What color is in fashion right now?,,,,,,,,
Modell,model,"das Modell, -e",Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.,What do you think of this car? - I don't like this model.,,,,,,,,,,
Möglichkeit,"possibility, option","die Möglichkeit, -en",Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.,You want to go to the sea? There are several options.,,,,,,,,,,
Möhre,carrot,"die Möhre, -n (D) 
→ Karotte; CH: Rüebli",Hasen fressen gern Möhren.,Rabbits like to eat carrots.,,,,,,,,,,
Moment,moment,"der Moment, -e",Warten Sie bitte einen Moment.,Please wait a moment.,Einen Moment bitte.,One moment please.,Ich habe im Moment sehr viel zu tun.,I have a lot to do at the moment.,,,,,,
Mond,moon,"der Mond, -e",Bei Vollmond kann ich nicht schlafen.,I can't sleep under a full moon.,,,,,,,,,,
Monitor,monitor,"der Monitor, -e",Ich habe mir einen größeren Monitor gekauft. Das ist besser für meine Augen.,I bought a larger monitor. It's better for my eyes.,,,,,,,,,,
Motor,motor,"der Motor, -en",Der Motor ist kaputt. Das Auto fährt nicht mehr.,The engine is broken. The car no longer runs.,,,,,,,,,,
Motorrad,motorcycle,"das Motorrad, ¨-er",Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.,Oskar rides his motorcycle to work every day.,,,,,,,,,,
Mühe,effort,"die Mühe, -n",Vielen Dank für Ihre Mühe.,Thank you very much for your efforts.,Mit ein bisschen mehr Mühe können wir das schaffen.,"With a little more effort, we can do it.",,,,,,,,
Müll,garbage,der Müll (Sg.),Bringst du bitte noch den Müllsack raus?,Could you please take out the garbage bag?,Wir müssen den Müll trennen.,We have to separate the waste.,,,,,,,,
Müllabfuhr,garbage collection,"die Müllabfuhr, -en",Die Müllabfuhr kommt zweimal pro Woche.,The refuse collection service comes twice a week.,,,,,,,,,,
Mülltonne,trash can,"die Mülltonne, -n",Die Mülltonne ist voll.,The garbage can is full.,,,,,,,,,,
Mund,mouth,"der Mund, ¨-er",Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.,Do you have a sore throat? Please open your mouth.,,,,,,,,,,
Münze,coin,"die Münze, -n",Der Automat nimmt nur Münzen.,The machine only accepts coins.,,,,,,,,,,
Museum,museum,"das Museum, Museen",Wir waren mit unserer Klasse im Museum.,We went to the museum with our class.,,,,,,,,,,
Musik,music,"die Musik, -en",Wie findest du die Musik?,What do you think of the music?,Spanische Musik mag ich sehr.,I really like Spanish music.,Was für Musik hörst du gern?,What kind of music do you like to listen to?,,,,,,
"Musiker, Musikerin",musician,"der Musiker, - 
die Musikerin, nen",Mein Bruder möchte Musiker werden.,My brother wants to become a musician.,,,,,,,,,,
Muskel,muscle,"der Muskel, -n",Im Fitness-Studio trainieren wir unsere Muskeln.,We train our muscles in the gym.,,,,,,,,,,
Müesli/Müsli,muesli,"das Müesli/Müsli, -",Zum Frühstück gibt es Müsli mit Obst.,For breakfast there is muesli with fruit.,,,,,,,,,,
Mut,courage,der Mut (Sg.),"Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen.",It takes a lot of courage to start from scratch in a foreign country.,,,,,,,,,,
Mutter,mother,"die Mutter, ¨-",Meine Mutter heißt Klara.,My mother's name is Klara.,Dieser Raum ist für Mütter mit kleinen Kindern reserviert.,This room is reserved for mothers with small children.,,,,,,,,
"Nachbar, Nachbarin",neighbor,"der Nachbar, -n 
die Nachbarin, nen",Meine neue Nachbarin ist sehr nett.,My new neighbor is very nice.,,,,,,,,,,
Nachfrage,demand,"die Nachfrage, -n",Die Nachfrage für dieses Produkt ist groß.,Demand for this product is high.,,,,,,,,,,
Nachhilfe,tutoring,"die Nachhilfe, -n",Der Schüler braucht Nachhilfe in Mathematik.,The student needs tutoring in math.,,,,,,,,,,
Nachricht,"message, news","die Nachricht, -en",Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden.,I have good news for you. You have passed the exam.,Ich habe im Radio die Nachrichten gehört.,I heard the news on the radio.,Im Moment bin ich nicht zu Hause. Aber Sie können eine Nachricht hinterlassen.,I'm not at home at the moment. But you can leave a message.,,,,,,
Nachspeise,dessert,"die Nachspeise, -n (D, A) 
→ Dessert",Nach dem Essen gab es noch eine leckere Nachspeise,After the meal we had a delicious dessert,,,,,,,,,,
Nachteil,disadvantage,"der Nachteil, -e",Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.,The apartment has one disadvantage. It is not centrally located.,,,,,,,,,,
Nachwuchs,"young people, offspring",der Nachwuchs (Sg.),Der Nachwuchs bei Forschern soll gefördert werden.,The next generation of researchers is to be promoted.,Die Katze hat Nachwuchs bekommen.,The cat has had kittens.,,,,,,,,
Nadel,needle,"die Nadel, -n",Hast du eine Nadel für mich? Ich muss einen Knopf annähen.,Do you have a needle for me? I need to sew on a button.,,,,,,,,,,
Nagel,nail,"der Nagel, ¨-",Kannst du mir den Nagel in die Wand schlagen?,Can you hammer the nail into the wall for me?,Ich muss mir die Fingernägel schneiden.,I have to cut my fingernails.,,,,,,,,
Nähe,"proximity, closeness",die Nähe (Sg.),Die Post ist ganz in der Nähe vom Bahnhof.,The post office is very close to the station.,,,,,,,,,,
Nahrungsmittel,food(stuff),"das Nahrungsmittel, -",In diesen Ländern fehlen vor allem Nahrungsmittel.,There is a shortage of food in these countries.,,,,,,,,,,
Name,name,"der Name, -n",Wie ist Ihr Name?,What is your name?,An den Namen kann ich mich nicht mehr erinnern.,I can no longer remember the name.,,,,,,,,
Familienname,family name,"der Familienname, -n",Ludin ist mein Familienname.,Ludin is my family name.,,,,,,,,,,
Vorname,first name,"der Vorname, -n",Mein Vorname ist Thomas.,My first name is Thomas.,,,,,,,,,,
Nase,nose,"die Nase, -n",Haben Sie Nasentropfen? Ich bin stark erkältet.,Do you have any nose drops? I have a bad cold.,,,,,,,,,,
Natur,nature,"die Natur, -en",Ich bin gern draußen in der Natur.,I like being outdoors in nature.,,,,,,,,,,
Nebel,fog,"der Nebel, -",Wegen Nebels konnten wir gestern nicht in Frankfurt landen.,We couldn't land in Frankfurt yesterday because of fog.,Fahren Sie bei Nebel besonders vorsichtig!,Drive particularly carefully in fog!,,,,,,,,
Neffe,nephew,"der Neffe, -n",Meine Schwester hat zwei Kinder. Meine Neffen sind drei und fünf Jahre alt.,My sister has two children. My nephews are three and five years old.,,,,,,,,,,
Nerv,nerve,"der Nerv, -en",Er leidet an einer Nervenkrankheit.,He suffers from a nervous disorder.,Mach bitte das Radio aus. Die Musik geht mir auf die Nerven.,Please turn off the radio. The music is getting on my nerves.,,,,,,,,
